 col,row,time,value
        11,         7,  0.1000000E+02,  0.2009000E+00
        11,         7,  0.2000000E+02,  0.2010000E+00
        11,         7,  0.3000000E+02,  0.2010000E+00
        11,         7,  0.4000000E+02,  0.2010000E+00
        11,         7,  0.5000000E+02,  0.2010000E+00
        11,         7,  0.6000000E+02,  0.2010000E+00
        11,         7,  0.7000000E+02,  0.2010000E+00
        11,         7,  0.8000000E+02,  0.2010000E+00
        11,         7,  0.9000000E+02,  0.2010000E+00
        11,         7,  0.1000000E+03,  0.2010000E+00
        11,         7,  0.1100000E+03,  0.2010000E+00
        11,         7,  0.1200000E+03,  0.2010000E+00
        11,         7,  0.1300000E+03,  0.2010000E+00
        11,         7,  0.1400000E+03,  0.2010000E+00
        11,         7,  0.1500000E+03,  0.2010000E+00
        11,         7,  0.1600000E+03,  0.2010000E+00
        11,         7,  0.1700000E+03,  0.2010000E+00
        11,         7,  0.1800000E+03,  0.2010000E+00
        11,         7,  0.1900000E+03,  0.2010000E+00
        11,         7,  0.2000000E+03,  0.2010000E+00
        11,         7,  0.2100000E+03,  0.2010000E+00
        11,         7,  0.2200000E+03,  0.2010000E+00
        11,         7,  0.2300000E+03,  0.2010000E+00
        11,         7,  0.2400000E+03,  0.2010000E+00
        11,         7,  0.2500000E+03,  0.2010000E+00
        11,         7,  0.2600000E+03,  0.2012000E+00
        11,         7,  0.2700000E+03,  0.2015000E+00
        11,         7,  0.2800000E+03,  0.2018000E+00
        11,         7,  0.2900000E+03,  0.2021000E+00
        11,         7,  0.3000000E+03,  0.2023000E+00
        11,         7,  0.3100000E+03,  0.2028000E+00
        11,         7,  0.3200000E+03,  0.2032000E+00
        11,         7,  0.3300000E+03,  0.2037000E+00
        11,         7,  0.3400000E+03,  0.2041000E+00
        11,         7,  0.3500000E+03,  0.2045000E+00
        11,         7,  0.3600000E+03,  0.2049000E+00
        11,         7,  0.3700000E+03,  0.2053000E+00
        11,         7,  0.3800000E+03,  0.2057000E+00
        11,         7,  0.3900000E+03,  0.2060000E+00
        11,         7,  0.4000000E+03,  0.2064000E+00
        11,         7,  0.4100000E+03,  0.2067000E+00
        11,         7,  0.4200000E+03,  0.2071000E+00
        11,         7,  0.4300000E+03,  0.2075000E+00
        11,         7,  0.4400000E+03,  0.2079000E+00
        11,         7,  0.4500000E+03,  0.2083000E+00
        11,         7,  0.4600000E+03,  0.2083000E+00
        11,         7,  0.4700000E+03,  0.2085000E+00
        11,         7,  0.4800000E+03,  0.2091000E+00
        11,         7,  0.4900000E+03,  0.2094000E+00
        11,         7,  0.5000000E+03,  0.2096000E+00
        11,         7,  0.5100000E+03,  0.2103000E+00
        11,         7,  0.5200000E+03,  0.2107000E+00
        11,         7,  0.5300000E+03,  0.2110000E+00
        11,         7,  0.5400000E+03,  0.2121000E+00
        11,         7,  0.5500000E+03,  0.2126000E+00
        11,         7,  0.5600000E+03,  0.2133000E+00
        11,         7,  0.5700000E+03,  0.2139000E+00
        11,         7,  0.5800000E+03,  0.2150000E+00
        11,         7,  0.5900000E+03,  0.2158000E+00
        11,         7,  0.6000000E+03,  0.2172000E+00
        11,         7,  0.6100000E+03,  0.2183000E+00
        11,         7,  0.6200000E+03,  0.2199000E+00
        11,         7,  0.6300000E+03,  0.2215000E+00
        11,         7,  0.6400000E+03,  0.2228000E+00
        11,         7,  0.6500000E+03,  0.2247000E+00
        11,         7,  0.6600000E+03,  0.2265000E+00
        11,         7,  0.6700000E+03,  0.2284000E+00
        11,         7,  0.6800000E+03,  0.2303000E+00
        11,         7,  0.6900000E+03,  0.2323000E+00
        11,         7,  0.7000000E+03,  0.2338000E+00
        11,         7,  0.7100000E+03,  0.2366000E+00
        11,         7,  0.7200000E+03,  0.2393000E+00
        11,         7,  0.7300000E+03,  0.2420000E+00
        11,         7,  0.7400000E+03,  0.2439000E+00
        11,         7,  0.7500000E+03,  0.2457000E+00
        11,         7,  0.7600000E+03,  0.2475000E+00
        11,         7,  0.7700000E+03,  0.2492000E+00
        11,         7,  0.7800000E+03,  0.2517000E+00
        11,         7,  0.7900000E+03,  0.2555000E+00
        11,         7,  0.8000000E+03,  0.2581000E+00
        11,         7,  0.8100000E+03,  0.2596000E+00
        11,         7,  0.8200000E+03,  0.2607000E+00
        11,         7,  0.8300000E+03,  0.2649000E+00
        11,         7,  0.8400000E+03,  0.2661000E+00
        11,         7,  0.8500000E+03,  0.2668000E+00
        11,         7,  0.8600000E+03,  0.2710000E+00
        11,         7,  0.8700000E+03,  0.2716000E+00
        11,         7,  0.8800000E+03,  0.2740000E+00
